station_id	station_code	station_name	datetime	name	value
29615	VESENUM	Numedalslagen	2017-10-02T12:15:00Z	TOC_mg_L	7.2
29615	VESENUM	Numedalslagen	2017-10-02T12:15:00Z	a250	13.27
29615	VESENUM	Numedalslagen	2017-10-02T12:15:00Z	a254	12.84
29615	VESENUM	Numedalslagen	2017-10-02T12:15:00Z	a365	2.76
29615	VESENUM	Numedalslagen	2017-10-02T12:15:00Z	SUVA_254	56.06
29615	VESENUM	Numedalslagen	2017-10-02T12:15:00Z	E2_E3	4.8
29615	VESENUM	Numedalslagen	2017-11-06T13:15:00Z	TOC_mg_L	5.9
29615	VESENUM	Numedalslagen	2017-11-06T13:15:00Z	a250	11.17
29615	VESENUM	Numedalslagen	2017-11-06T13:15:00Z	a254	10.82
29615	VESENUM	Numedalslagen	2017-11-06T13:15:00Z	a365	2.38
29615	VESENUM	Numedalslagen	2017-11-06T13:15:00Z	SUVA_254	54.51
29615	VESENUM	Numedalslagen	2017-11-06T13:15:00Z	E2_E3	4.68
29615	VESENUM	Numedalslagen	2017-12-04T13:30:00Z	TOC_mg_L	3.6
29615	VESENUM	Numedalslagen	2017-12-04T13:30:00Z	a250	6.8
29615	VESENUM	Numedalslagen	2017-12-04T13:30:00Z	a254	6.61
29615	VESENUM	Numedalslagen	2017-12-04T13:30:00Z	a365	1.41
29615	VESENUM	Numedalslagen	2017-12-04T13:30:00Z	SUVA_254	54.49
29615	VESENUM	Numedalslagen	2017-12-04T13:30:00Z	E2_E3	4.82
29617	oSTEGLO	Glomma ved Sarpsfoss	2017-01-22T13:45:00Z	TOC_mg_L	3.4
29617	oSTEGLO	Glomma ved Sarpsfoss	2017-01-22T13:45:00Z	a250	6.17
29617	oSTEGLO	Glomma ved Sarpsfoss	2017-01-22T13:45:00Z	a254	5.99
29617	oSTEGLO	Glomma ved Sarpsfoss	2017-01-22T13:45:00Z	a365	1.26
29617	oSTEGLO	Glomma ved Sarpsfoss	2017-01-22T13:45:00Z	SUVA_254	56.76
29617	oSTEGLO	Glomma ved Sarpsfoss	2017-01-22T13:45:00Z	E2_E3	4.89
29617	oSTEGLO	Glomma ved Sarpsfoss	2017-02-14T15:00:00Z	TOC_mg_L	3
29617	oSTEGLO	Glomma ved Sarpsfoss	2017-02-14T15:00:00Z	a250	5.25
29617	oSTEGLO	Glomma ved Sarpsfoss	2017-02-14T15:00:00Z	a254	5.1
29617	oSTEGLO	Glomma ved Sarpsfoss	2017-02-14T15:00:00Z	a365	1.03
29617	oSTEGLO	Glomma ved Sarpsfoss	2017-02-14T15:00:00Z	SUVA_254	58.86
29617	oSTEGLO	Glomma ved Sarpsfoss	2017-02-14T15:00:00Z	E2_E3	5.07
29617	oSTEGLO	Glomma ved Sarpsfoss	2017-03-06T14:15:00Z	TOC_mg_L	3.7
29617	oSTEGLO	Glomma ved Sarpsfoss	2017-03-06T14:15:00Z	a250	6.78
29617	oSTEGLO	Glomma ved Sarpsfoss	2017-03-06T14:15:00Z	a254	6.58
