Station ID	Station Code	Station name	Date	Qs	pH	KOND	TURB860	SPM	TOC	PO4-P	TOTP	NO3-N	NH4-N	TOTN	SiO2	As	Pb	Cd	Cu	Zn	Ni	Cr	Ca
29842	SFJENAU	Nausta	13.11.2018 13:30	19.352	6.26	1.29	<0.3	<0.48	1.7	2	4	69	<2	130	1.219								
29842	SFJENAU	Nausta	04.12.2018 09:30	19.592	6.27	1.49	0.42	1.26	2.2	5	7	130	<2	230	1.549								
29842	SFJENAU	Nausta	07.01.2019 17:50	30.435	6.1	1.74	<0.3	1.04	1.3	<1	3	100	3	150	1.228								
29842	SFJENAU	Nausta	05.02.2019	10.036																			
29842	SFJENAU	Nausta	05.02.2019 10:40	10.036	6.4	2.13	0.46	<0.67	1.1	1	3	160	<2	220	2.229	<0.025	0.021	0.004	0.17	1.1	0.11	0.031	
29842	SFJENAU	Nausta	04.03.2019 11:30	18.413	6.48	2.12	0.58	<0.5	1.6	1	2	93	<2	170	1.442								
29842	SFJENAU	Nausta	03.04.2019 08:55	23.229	6.35	2.05	0.36	<0.3	1.2	1	3	110	<2	150	1.196								
29842	SFJENAU	Nausta	13.05.2019 09:40	13.241	6.48	1.74	0.47	0.36	1.3	2	2	50	7	98	0.849	0.037	0.035	0.004	0.14	0.66	<0.04	0.037	
29842	SFJENAU	Nausta	04.06.2019 10:40	22.766	6.23	1.29	0.76	2.51	2.6	3	8	55	<2	140	0.898								
29842	SFJENAU	Nausta	01.07.2019 10:05	26.036	6.18	1.43	1.3	3.68	4.8	18	28	180	41	380	1.041								
29842	SFJENAU	Nausta	29.08.2019 08:00	25.326	5.53	1.09	0.73	1.41	5.4	4	12	5	<2	180	1.076	0.067	0.154	0.005	0.37	1.2	0.16	0.1	
29842	SFJENAU	Nausta	10.09.2019 18:15	19.437	6.44	1.63	<0.3	0.71	2.5	2	6	110	<2	210	1.217								
29842	SFJENAU	Nausta	07.10.2019	13.787																			
29842	SFJENAU	Nausta	07.10.2019 12:00	13.787	6.28	1.52	1.6	4.26	1.5	5	7	50	<2	130	1.335	0.058	0.1	0.003	0.24	1.1	0.13	0.087	
29842	SFJENAU	Nausta	05.11.2019 09:30	12.153	6.56	2.18	<0.3	0.52	1.6	2	5	180	2	280	1.986								
29842	SFJENAU	Nausta	09.12.2019 16:00	37.819	6.02	1.83	<0.3	<0.5	2.5	2	5	110	3	240	1.819								
29844	STRENID	Nidelva	24.01.2017 11:57	109.737	7.2	3.96	1.7	2.46	3.1	2	4	130	2	230	2.143								
29844	STRENID	Nidelva	07.02.2017 10:40	59.263	7.13	3.3	0.63	1.6	2.7	2	4	95	<2	200	1.967	0.087	0.03	0.003	0.64	0.45	0.68	0.17	
29844	STRENID	Nidelva	06.03.2017 10:15	46.867	7.16	3.44	1.3	1.78	2.7	<1	4	98	<2	210	2.046								
29844	STRENID	Nidelva	03.04.2017 09:05	84.643	7.09	3.76	2.4	3.55	2.9	3	6	120	<2	220	2.314								
29844	STRENID	Nidelva	02.05.2017 09:00	65.826	7.15	3.33	0.54	0.73	2.9	<1	2	130	4	195	1.935	0.077	0.018	<0.003	0.65	0.81	1.76	0.16	
29844	STRENID	Nidelva	06.06.2017 07:25	362.5	7.04	3.24	0.37	0.69	2.7	<1	<1	89	<2	180	1.976								
29844	STRENID	Nidelva	03.07.2017 09:30	168.199	7.2	3.33	0.59	1.4	2.6	1	4	60	<2	170	1.817								
29844	STRENID	Nidelva	07.08.2017 08:30	79.016	7.17	3.05	0.56	0.55	2.8	2	3	57	8	175	1.682	0.077	0.019	0.004	0.61	0.53	0.67	0.15	
29844	STRENID	Nidelva	04.09.2017 10:00	56.77	7.25	2.96	0.32	1.01	2.9	2	3	54	4	165	1.761								
29844	STRENID	Nidelva	11.10.2017 08:40	51.023	7.25	3.19	0.31	0.32	2.7	1	3	65	5	160	1.787	0.095	0.031	<0.003	0.57	0.54	0.68	0.17	
29844	STRENID	Nidelva	06.11.2017 11:20	99.53	7.33	3.54	5.7	5.97	2.9	4	7	94	5	220	2.464								
29844	STRENID	Nidelva	04.12.2017 10:30	71.664	7.41	5.33	8	8.19	2.8	8	14	140	<2	320	2.571								
29844	STRENID	Nidelva	08.01.2018 17:00	40.956	7.13	3.35	<0.3	0.54	2.3	2	4	97	<2	210	2.066								
29844	STRENID	Nidelva	05.02.2018 15:15	29.152	7.08	3.09	<0.3	0.78	2.4	<1	3	77	3	185	1.954	0.067	0.012	<0.003	0.56	0.39	0.62	0.12	
29844	STRENID	Nidelva	05.03.2018 14:45	21.321	7.12	3.22	<0.3	0.57	2.4	2	3	78	3	195	1.978								
29844	STRENID	Nidelva	03.04.2018 09:30	22.143	7.21	3.25	<0.3	0.4	2.3	1	3	95	2	180	1.976								
29844	STRENID	Nidelva	06.05.2018 15:30	205.172	7.29	3.57	1.2	1.49	2.4	1	3	87	7	200	1.974	0.087	0.022	<0.003	0.64	0.48	0.66	0.18	
29844	STRENID	Nidelva	04.06.2018 13:30	98.559	7.29	3.53	0.33	0.51	2.4	<1	4	78	10	170	1.854								
29844	STRENID	Nidelva	02.07.2018 13:20	50.218	7.27	3.49	0.42	0.69	2.4	<1	4	72	8	180	1.781								
29844	STRENID	Nidelva	07.08.2018 12:50	77.806	7.39	3.91	0.76	1.11	2.5	2	4	60	10	160	1.854	0.11	0.032	<0.003	0.7	0.5	0.72	0.19	
